Filename                                    Regions    Missed Regions     Cover   Functions  Missed Functions  Executed       Lines      Missed Lines     Cover    Branches   Missed Branches     Cover
Chap39/BSTTreapStEph.rs                         229                77    66.38%          27                 8    70.37%         135                42    68.89%           0                 0         -
Chap40/BSTKeyValueStEph.rs                      225                17    92.44%          26                 2    92.31%         132                14    89.39%           0                 0         -
Chap40/BSTReducedStEph.rs                       343                68    80.17%          41                 9    78.05%         191                37    80.63%           0                 0         -
Chap40/BSTSizeStEph.rs                          313                16    94.89%          32                 2    93.75%         181                14    92.27%           0                 0         -
Chap41/AVLTreeSetMtEph.rs                       344                67    80.52%          24                 4    83.33%         173                27    84.39%           0                 0         -
Chap41/AVLTreeSetMtPer.rs                       407               202    50.37%          34                16    52.94%         200                75    62.50%           0                 0         -
Chap41/AVLTreeSetStEph.rs                       251                59    76.49%          17                 4    76.47%         131                23    82.44%           0                 0         -
Chap41/AVLTreeSetStPer.rs                       227                23    89.87%          17                 4    76.47%         131                15    88.55%           0                 0         -
Chap41/ArraySetEnumMtEph.rs                     152                12    92.11%          15                 1    93.33%          98                 4    95.92%           0                 0         -
Chap41/ArraySetStEph.rs                         143                 9    93.71%          17                 2    88.24%          84                 5    94.05%           0                 0         -
Chap41/Example41_3.rs                           386                 0   100.00%           6                 0   100.00%         129                 0   100.00%           0                 0         -
Chap42/Example42_1.rs                           357                12    96.64%          22                 6    72.73%         138                 6    95.65%           0                 0         -
Chap42/TableMtEph.rs                            919               166    81.94%          37                 3    91.89%         454                91    79.96%           0                 0         -
Chap42/TableStEph.rs                            325                21    93.54%          27                 0   100.00%         179                16    91.06%           0                 0         -
Chap42/TableStPer.rs                            318                 2    99.37%          28                 0   100.00%         186                 2    98.92%           0                 0         -
Chap43/AugOrderedTableMtEph.rs                  406               406     0.00%          41                41     0.00%         225               225     0.00%           0                 0         -
Chap43/AugOrderedTableStEph.rs                  362               362     0.00%          38                38     0.00%         198               198     0.00%           0                 0         -
Chap43/AugOrderedTableStPer.rs                  381               381     0.00%          34                34     0.00%         233               233     0.00%           0                 0         -
Chap43/Example43_1.rs                           347               126    63.69%           2                 1    50.00%         144                50    65.28%           0                 0         -
Chap43/OrderedSetMtEph.rs                       201                27    86.57%          25                 2    92.00%         119                13    89.08%           0                 0         -
Chap43/OrderedSetStEph.rs                       306                 9    97.06%          30                 1    96.67%         156                 8    94.87%           0                 0         -
Chap43/OrderedSetStPer.rs                       238                 0   100.00%          30                 0   100.00%         142                 0   100.00%           0                 0         -
Chap43/OrderedTableMtEph.rs                     392                45    88.52%          34                10    70.59%         215                27    87.44%           0                 0         -
Chap43/OrderedTableMtPer.rs                      45                13    71.11%          11                 3    72.73%          39                11    71.79%           0                 0         -
Chap43/OrderedTableStEph.rs                     385                41    89.35%          34                 9    73.53%         196                22    88.78%           0                 0         -
Chap43/OrderedTableStPer.rs                     300                 2    99.33%          30                 1    96.67%         192                 1    99.48%           0                 0         -
Chap44/DocumentIndex.rs                         321               321     0.00%          24                24     0.00%         143               143     0.00%           0                 0         -
Chap44/Example44_1.rs                           255               255     0.00%          22                22     0.00%         124               124     0.00%           0                 0         -
Chap45/BalancedTreePQ.rs                        382               382     0.00%          29                29     0.00%         226               226     0.00%           0                 0         -
Chap45/BinaryHeapPQ.rs                          414               242    41.55%          29                18    37.93%         204               121    40.69%           0                 0         -
Chap45/Example45_2.rs                           172               172     0.00%           8                 8     0.00%          73                73     0.00%           0                 0         -
Chap45/HeapsortExample.rs                       314               314     0.00%          26                26     0.00%         201               201     0.00%           0                 0         -
Chap45/LeftistHeapPQ.rs                         366               366     0.00%          34                34     0.00%         210               210     0.00%           0                 0         -
Chap45/SortedListPQ.rs                          319               319     0.00%          21                21     0.00%         161               161     0.00%           0                 0         -
Chap45/UnsortedListPQ.rs                        204               204     0.00%          18                18     0.00%         115               115     0.00%           0                 0         -
Chap47/AdvancedDoubleHashing.rs                 318                45    85.85%          19                 2    89.47%         185                33    82.16%           0                 0         -
Chap47/AdvancedLinearProbing.rs                 187                22    88.24%          14                 1    92.86%         144                21    85.42%           0                 0         -
