Filename                                      Regions    Missed Regions     Cover   Functions  Missed Functions  Executed       Lines      Missed Lines     Cover    Branches   Missed Branches     Cover
Chap37/AVLTreeSeqMtPer.rs                         358                95    73.46%          30                 2    93.33%         170                25    85.29%           0                 0         -
Chap37/AVLTreeSeqStEph.rs                         449                53    88.20%          35                 2    94.29%         240                19    92.08%           0                 0         -
Chap37/AVLTreeSeqStPer.rs                         375                91    75.73%          31                 2    93.55%         176                25    85.80%           0                 0         -
Chap37/BSTAVLMtEph.rs                             262                 8    96.95%          25                 0   100.00%         160                 9    94.38%           0                 0         -
Chap37/BSTAVLStEph.rs                             244                10    95.90%          26                 0   100.00%         143                11    92.31%           0                 0         -
Chap37/BSTBBAlphaMtEph.rs                         264                 1    99.62%          26                 0   100.00%         149                 1    99.33%           0                 0         -
Chap37/BSTBBAlphaStEph.rs                         297                62    79.12%          36                10    72.22%         153                25    83.66%           0                 0         -
Chap37/BSTPlainMtEph.rs                           222                 1    99.55%          20                 0   100.00%         122                 0   100.00%           0                 0         -
Chap37/BSTPlainStEph.rs                           107                 1    99.07%          16                 0   100.00%          61                 1    98.36%           0                 0         -
Chap37/BSTRBMtEph.rs                              312                18    94.23%          27                 0   100.00%         193                18    90.67%           0                 0         -
Chap37/BSTRBStEph.rs                              270                12    95.56%          27                 0   100.00%         159                12    92.45%           0                 0         -
Chap37/BSTSetAVLMtEph.rs                          324                 9    97.22%          48                 2    95.83%         155                 2    98.71%           0                 0         -
Chap37/BSTSetBBAlphaMtEph.rs                      324                 9    97.22%          48                 2    95.83%         155                 2    98.71%           0                 0         -
Chap37/BSTSetPlainMtEph.rs                        423                 9    97.87%          51                 2    96.08%         234                 2    99.15%           0                 0         -
Chap37/BSTSetRBMtEph.rs                           324                 9    97.22%          48                 2    95.83%         155                 2    98.71%           0                 0         -
Chap37/BSTSetSplayMtEph.rs                        324                 9    97.22%          48                 2    95.83%         155                 2    98.71%           0                 0         -
Chap37/BSTSplayMtEph.rs                           194                 0   100.00%          22                 0   100.00%         112                 0   100.00%           0                 0         -
Chap37/BSTSplayStEph.rs                           166                 5    96.99%          22                 1    95.45%          90                 3    96.67%           0                 0         -
Chap38/BSTParaMtEph.rs                            412                 7    98.30%          40                 0   100.00%         185                 2    98.92%           0                 0         -
Chap38/BSTParaStEph.rs                            222                 1    99.55%          20                 0   100.00%          98                 1    98.98%           0                 0         -
Chap39/BSTParaTreapMtEph.rs                       525                39    92.57%          45                 2    95.56%         229                19    91.70%           0                 0         -
Chap39/BSTSetTreapMtEph.rs                        324                 9    97.22%          48                 2    95.83%         155                 2    98.71%           0                 0         -
Chap39/BSTTreapMtEph.rs                           250                 8    96.80%          26                 1    96.15%         151                 7    95.36%           0                 0         -
Chap39/BSTTreapStEph.rs                           222                 5    97.75%          26                 0   100.00%         131                 6    95.42%           0                 0         -
Chap40/BSTKeyValueStEph.rs                        219                11    94.98%          25                 1    96.00%         128                10    92.19%           0                 0         -
Chap40/BSTReducedStEph.rs                         337                26    92.28%          40                 2    95.00%         187                15    91.98%           0                 0         -
Chap40/BSTSizeStEph.rs                            308                13    95.78%          31                 1    96.77%         177                11    93.79%           0                 0         -
Chap41/AVLTreeSetMtEph.rs                         338                35    89.64%          23                 2    91.30%         169                12    92.90%           0                 0         -
Chap41/AVLTreeSetMtPer.rs                         401               188    53.12%          33                15    54.55%         196                66    66.33%           0                 0         -
Chap41/AVLTreeSetStEph.rs                         245                31    87.35%          16                 2    87.50%         127                10    92.13%           0                 0         -
Chap41/AVLTreeSetStPer.rs                         221                17    92.31%          16                 3    81.25%         127                11    91.34%           0                 0         -
Chap41/ArraySetEnumMtEph.rs                       146                 6    95.89%          14                 0   100.00%          94                 0   100.00%           0                 0         -
Chap41/ArraySetStEph.rs                           137                 3    97.81%          16                 1    93.75%          80                 1    98.75%           0                 0         -
Chap41/Example41_3.rs                             384                 0   100.00%           6                 0   100.00%         129                 0   100.00%           0                 0         -
Chap42/Example42_1.rs                             357                12    96.64%          22                 6    72.73%         138                 6    95.65%           0                 0         -
Chap42/TableMtEph.rs                              903                93    89.70%          37                 0   100.00%         438                54    87.67%           0                 0         -
Chap42/TableStEph.rs                              325                16    95.08%          27                 0   100.00%         179                13    92.74%           0                 0         -
Chap42/TableStPer.rs                              318                 0   100.00%          28                 0   100.00%         186                 0   100.00%           0                 0         -
Chap43/AugOrderedTableMtEph.rs                    395                12    96.96%          39                 1    97.44%         217                 7    96.77%           0                 0         -
Chap43/AugOrderedTableStEph.rs                    351                 6    98.29%          36                 1    97.22%         190                 4    97.89%           0                 0         -
Chap43/AugOrderedTableStPer.rs                    370                 6    98.38%          32                 0   100.00%         225                 3    98.67%           0                 0         -
Chap43/Example43_1.rs                             347               126    63.69%           2                 1    50.00%         144                50    65.28%           0                 0         -
Chap43/OrderedSetMtEph.rs                         201                27    86.57%          25                 2    92.00%         119                13    89.08%           0                 0         -
Chap43/OrderedSetStEph.rs                         306                 9    97.06%          30                 1    96.67%         156                 8    94.87%           0                 0         -
Chap43/OrderedSetStPer.rs                         238                 0   100.00%          30                 0   100.00%         142                 0   100.00%           0                 0         -
Chap43/OrderedTableMtEph.rs                       392                12    96.94%          34                 3    91.18%         215                 6    97.21%           0                 0         -
Chap43/OrderedTableMtPer.rs                        45                 3    93.33%          11                 1    90.91%          39                 1    97.44%           0                 0         -
Chap43/OrderedTableStEph.rs                       385                12    96.88%          34                 3    91.18%         196                 6    96.94%           0                 0         -
Chap43/OrderedTableStPer.rs                       300                 2    99.33%          30                 1    96.67%         192                 1    99.48%           0                 0         -
Chap44/DocumentIndex.rs                           321                39    87.85%          24                 7    70.83%         143                28    80.42%           0                 0         -
Chap44/Example44_1.rs                             258                 7    97.29%          23                 1    95.65%         127                 7    94.49%           0                 0         -
Chap45/BalancedTreePQ.rs                          382                11    97.12%          29                 1    96.55%         226                 6    97.35%           0                 0         -
Chap45/BinaryHeapPQ.rs                            412                17    95.87%          29                 1    96.55%         202                 7    96.53%           0                 0         -
Chap45/Example45_2.rs                             170               170     0.00%           8                 8     0.00%          73                73     0.00%           0                 0         -
Chap45/HeapsortExample.rs                         315                 6    98.10%          26                 0   100.00%         201                 0   100.00%           0                 0         -
Chap45/LeftistHeapPQ.rs                           366                31    91.53%          34                 4    88.24%         210                14    93.33%           0                 0         -
Chap45/SortedListPQ.rs                            319               134    57.99%          21                11    47.62%         161                68    57.76%           0                 0         -
Chap45/UnsortedListPQ.rs                          204                13    93.63%          18                 2    88.89%         115                 5    95.65%           0                 0         -
Chap47/AdvancedDoubleHashing.rs                   318                44    86.16%          19                 2    89.47%         183                32    82.51%           0                 0         -
Chap47/AdvancedLinearProbing.rs                   187                22    88.24%          14                 1    92.86%         144                21    85.42%           0                 0         -
Chap47/AdvancedQuadraticProbing.rs                287                11    96.17%          19                 0   100.00%         215                12    94.42%           0                 0         -
Chap47/ClusteringAnalysis.rs                      457               166    63.68%          19                 4    78.95%         296                69    76.69%           0                 0         -
Chap47/DoubleHashing.rs                            62                 0   100.00%           5                 0   100.00%          38                 0   100.00%           0                 0         -
Chap47/FlatHashTable.rs                           405                34    91.60%          11                 0   100.00%         209                19    90.91%           0                 0         -
Chap47/HashExamples.rs                            245                 0   100.00%          14                 0   100.00%         259                 0   100.00%           0                 0         -
Chap47/HashFunctionTraits.rs                      255                13    94.90%          35                 2    94.29%         180                11    93.89%           0                 0         -
Chap47/LinearProbing.rs                            39                 0   100.00%           5                 0   100.00%          26                 0   100.00%           0                 0         -
Chap47/NestedHashTable.rs                         423                69    83.69%          15                 5    66.67%         220                38    82.73%           0                 0         -
Chap47/ProbeSequenceExamples.rs                   489                74    84.87%          17                 3    82.35%         287                30    89.55%           0                 0         -
Chap47/QuadraticProbing.rs                         48                 0   100.00%           6                 0   100.00%          34                 0   100.00%           0                 0         -
Chap47/SeparateChaining.rs                        442                10    97.74%           9                 0   100.00%         193                 7    96.37%           0                 0         -
Chap47clean/ChainedHashTable.rs                    36                 3    91.67%           3                 0   100.00%          18                 2    88.89%           0                 0         -
Chap47clean/DoubleHashFlatHashTable.rs            114                 9    92.11%           6                 0   100.00%          76                 9    88.16%           0                 0         -
Chap47clean/FlatHashTable.rs                       56                56     0.00%           6                 6     0.00%          30                30     0.00%           0                 0         -
Chap47clean/LinProbFlatHashTable.rs                81                16    80.25%           5                 0   100.00%          61                17    72.13%           0                 0         -
Chap47clean/LinkedListChainedHashTable.rs          74                 2    97.30%           8                 0   100.00%          43                 2    95.35%           0                 0         -
Chap47clean/ParaHashTableStEph.rs                  18                 1    94.44%           3                 0   100.00%          21                 1    95.24%           0                 0         -
Chap47clean/QuadProbFlatHashTable.rs               91                 2    97.80%           5                 0   100.00%          61                 2    96.72%           0                 0         -
Chap47clean/StructChainedHashTable.rs              75                 3    96.00%          10                 1    90.00%          53                 3    94.34%           0                 0         -
Chap47clean/VecChainedHashTable.rs                 60                 1    98.33%           9                 0   100.00%          36                 1    97.22%           0                 0         -
Chap49/MinEditDistMtEph.rs                        153                10    93.46%          16                 1    93.75%          88                 8    90.91%           0                 0         -
Chap49/MinEditDistMtPer.rs                        123                20    83.74%          11                 3    72.73%          72                13    81.94%           0                 0         -
Chap49/MinEditDistStEph.rs                        142                38    73.24%          19                 7    63.16%          83                29    65.06%           0                 0         -
Chap49/MinEditDistStPer.rs                        110                11    90.00%          12                 2    83.33%          65                 8    87.69%           0                 0         -
Chap49/SubsetSumMtEph.rs                          130                19    85.38%          13                 3    76.92%          80                12    85.00%           0                 0         -
Chap49/SubsetSumMtPer.rs                          111                 7    93.69%          10                 1    90.00%          70                 5    92.86%           0                 0         -
Chap49/SubsetSumStEph.rs                          100                15    85.00%          13                 3    76.92%          58                 4    93.10%           0                 0         -
Chap49/SubsetSumStPer.rs                           84                 5    94.05%           9                 1    88.89%          52                 1    98.08%           0                 0         -
Chap50/MatrixChainMtEph.rs                        254                34    86.61%          23                 4    82.61%         153                17    88.89%           0                 0         -
Chap50/MatrixChainMtPer.rs                        187                26    86.10%          19                 4    78.95%         108                12    88.89%           0                 0         -
Chap50/MatrixChainStEph.rs                        140                24    82.86%          20                 4    80.00%          87                10    88.51%           0                 0         -
Chap50/MatrixChainStPer.rs                        114                17    85.09%          15                 3    80.00%          72                 9    87.50%           0                 0         -
Chap50/OptBinSearchTreeMtEph.rs                   257                14    94.55%          25                 1    96.00%         156                 8    94.87%           0                 0         -
Chap50/OptBinSearchTreeMtPer.rs                   192                19    90.10%          21                 3    85.71%         110                 8    92.73%           0                 0         -
Chap50/OptBinSearchTreeStEph.rs                   138                23    83.33%          21                 4    80.95%          83                10    87.95%           0                 0         -
Chap50/OptBinSearchTreeStPer.rs                   114                13    88.60%          16                 2    87.50%          69                 8    88.41%           0                 0         -
Chap50/Probability.rs                              73                18    75.34%          17                 4    76.47%          32                 7    78.12%           0                 0         -
Chap51/BottomUpDPMtEph.rs                         189                 8    95.77%          16                 2    87.50%          90                 2    97.78%           0                 0         -
Chap51/BottomUpDPMtPer.rs                         179                 0   100.00%          14                 0   100.00%          88                 0   100.00%           0                 0         -
Chap51/BottomUpDPStEph.rs                         134                 0   100.00%          12                 0   100.00%          60                 0   100.00%           0                 0         -
Chap51/BottomUpDPStPer.rs                         128                 0   100.00%          10                 0   100.00%          59                 0   100.00%           0                 0         -
Chap51/TopDownDPMtEph.rs                          261                24    90.80%          21                 3    85.71%         121                13    89.26%           0                 0         -
Chap51/TopDownDPMtPer.rs                          243                10    95.88%          19                 1    94.74%         119                 8    93.28%           0                 0         -
Chap51/TopDownDPStEph.rs                          134                18    86.57%          15                 3    80.00%          60                 9    85.00%           0                 0         -
Chap51/TopDownDPStPer.rs                          128                 0   100.00%          13                 0   100.00%          65                 0   100.00%           0                 0         -
