UNTESTED FUNCTIONS: 2907 functions, 82683 uncovered regions
======================================================================

All Untested Functions (sorted by impact):

Rank   Regions  Insts  Module                                             Function                      
236    6        2      Chap06::DirGraphMtEph                              vertices                      
237    6        2      Chap06::DirGraphStEph                              arcs                          
238    6        2      Chap06::DirGraphStEph                              empty                         
239    6        2      Chap06::DirGraphStEph                              FromSets                      
240    6        2      Chap06::DirGraphStEph                              vertices                      
241    6        2      Chap06::UnDirGraphMtEph                            edges                         
242    6        2      Chap06::UnDirGraphMtEph                            FromSets                      
243    6        2      Chap06::UnDirGraphMtEph                            vertices                      
244    6        2      Chap06::UnDirGraphStEph                            edges                         
245    6        2      Chap06::UnDirGraphStEph                            empty                         
246    6        2      Chap06::UnDirGraphStEph                            FromSets                      
247    6        2      Chap06::UnDirGraphStEph                            vertices                      
248    6        2      Chap06::LabDirGraphMtEph                           from_vertices_and_labeled_arcs
249    6        2      Chap06::LabDirGraphMtEph                           empty                         
250    6        2      Chap06::LabDirGraphStEph                           empty                         
251    6        2      Chap06::LabUnDirGraphMtEph                         labeled_edges                 
252    6        2      Chap06::LabUnDirGraphMtEph                         normalize_edge                
253    6        2      Chap06::LabUnDirGraphMtEph                         from_vertices_and_labeled_edges
254    6        2      Chap06::LabUnDirGraphMtEph                         empty                         
255    6        2      Chap06::LabUnDirGraphMtEph                         vertices                      
256    6        2      Chap06::LabUnDirGraphStEph                         labeled_edges                 
257    6        2      Chap06::LabUnDirGraphStEph                         normalize_edge                
258    6        2      Chap06::LabUnDirGraphStEph                         from_vertices_and_labeled_edges
259    6        2      Chap06::LabUnDirGraphStEph                         empty                         
260    6        2      Chap06::LabUnDirGraphStEph                         vertices                      
261    6        2      Chap12::Exercise12_5                               default                       
262    6        2      Chap12::Exercise12_5                               new                           
263    6        2      Chap17::MathSeq                                    eq                            
264    6        2      Chap17::MathSeq                                    isSingleton                   
265    6        2      Chap17::MathSeq                                    nth                           
266    6        2      Chap18::ArraySeqMtEph                              isSingleton                   
267    6        2      Chap18::ArraySeqMtEph                              isEmpty                       
268    6        2      Chap18::ArraySeqStEph                              isSingleton                   
269    6        2      Chap18::ArraySeqStEph                              isEmpty                       
270    6        2      Chap18::ArraySeqStPer                              isSingleton                   
271    6        2      Chap18::ArraySeq                                   eq                            
272    6        2      Chap19::ArraySeqMtEph                              isSingleton                   
273    6        2      Chap19::ArraySeqMtEph                              empty                         
274    6        2      Chap19::ArraySeqMtEph                              isEmpty                       
275    6        2      Chap19::ArraySeqMtPer                              isSingleton                   
276    6        2      Chap19::ArraySeqMtPer                              isEmpty                       
277    6        2      Chap19::ArraySeqStEph                              isSingleton                   
278    6        2      Chap19::ArraySeqStEph                              empty                         
279    6        2      Chap19::ArraySeqStEph                              isEmpty                       
280    6        2      Chap19::ArraySeqStPer                              isSingleton                   
281    6        2      Chap19::ArraySeqStPer                              empty                         
282    6        2      Chap19::ArraySeqStPer                              isEmpty                       
283    6        2      Chap19::ArraySeqMtEphSlice                         isSingleton                   
284    6        2      Chap19::ArraySeqMtEphSlice                         isEmpty                       
285    6        2      Chap37::AVLTreeSeq                                 isSingleton                   
286    6        2      Chap37::AVLTreeSeq                                 empty                         
287    6        2      Chap37::AVLTreeSeq                                 isEmpty                       
288    6        2      Chap37::AVLTreeSeq                                 default                       
289    6        2      Chap37::BSTRBMtEph                                 is_empty                      
290    6        2      Chap37::BSTRBMtEph                                 default                       
291    6        2      Chap37::BSTRBStEph                                 is_empty                      
292    6        2      Chap37::BSTRBStEph                                 default                       
293    6        2      Chap37::BSTAVLMtEph                                is_empty                      
294    6        2      Chap37::BSTAVLMtEph                                default                       
295    6        2      Chap37::BSTAVLStEph                                is_empty                      
296    6        2      Chap37::BSTAVLStEph                                default                       
297    6        2      Chap37::BSTPlainMtEph                              is_empty                      
298    6        2      Chap37::BSTPlainStEph                              new                           
299    6        2      Chap37::BSTSplayMtEph                              is_empty                      
300    6        2      Chap37::BSTSplayMtEph                              default                       
301    6        2      Chap37::BSTSplayStEph                              is_empty                      
302    6        2      Chap37::BSTSplayStEph                              default                       
303    6        2      Chap37::AVLTreeSeqMtPer                            isSingleton                   
304    6        2      Chap37::AVLTreeSeqMtPer                            new                           
305    6        2      Chap37::AVLTreeSeqMtPer                            empty                         
306    6        2      Chap37::AVLTreeSeqMtPer                            isEmpty                       
307    6        2      Chap37::AVLTreeSeqMtPer                            from_vec                      
308    6        2      Chap37::AVLTreeSeqMtPer                            default                       
309    6        2      Chap37::AVLTreeSeqMtPer                            into_iter                     
310    6        2      Chap37::AVLTreeSeqStEph                            isSingleton                   
311    6        2      Chap37::AVLTreeSeqStEph                            isEmpty                       
312    6        2      Chap37::AVLTreeSeqStEph                            default                       
313    6        2      Chap37::AVLTreeSeqStPer                            isSingleton                   
314    6        2      Chap37::AVLTreeSeqStPer                            new                           
315    6        2      Chap37::AVLTreeSeqStPer                            isEmpty                       
316    6        2      Chap37::BSTBBAlphaMtEph                            is_empty                      
317    6        2      Chap37::BSTBBAlphaMtEph                            default                       
318    6        2      Chap37::BSTBBAlphaStEph                            default                       
319    6        2      Chap38::BSTParaMtEph                               is_empty                      
320    6        2      Chap38::BSTParaStEph                               is_empty                      
321    6        2      Chap39::BSTTreapMtEph                              is_empty                      
322    6        2      Chap39::BSTTreapMtEph                              default                       
323    6        2      Chap39::BSTTreapStEph                              is_empty                      
324    6        2      Chap39::BSTTreapStEph                              default                       
325    6        2      Chap39::BSTParaTreapMtEph                          is_empty                      
326    6        2      Chap40::BSTSizeStEph                               is_empty                      
327    6        2      Chap40::BSTSizeStEph                               default                       
328    6        2      Chap40::BSTReducedStEph                            default                       
329    6        2      Chap40::BSTReducedStEph                            is_empty                      
330    6        2      Chap40::BSTKeyValueStEph                           size                          
331    6        2      Chap40::BSTKeyValueStEph                           is_empty                      
332    6        2      Chap40::BSTKeyValueStEph                           default                       
333    6        2      Chap41::ArraySetStEph                              default                       
334    6        2      Chap41::AVLTreeSetMtEph                            default                       
335    6        2      Chap41::AVLTreeSetMtPer                            empty                         
336    6        2      Chap41::AVLTreeSetMtPer                            singleton                     
337    6        2      Chap41::AVLTreeSetMtPer                            default                       
338    6        2      Chap41::AVLTreeSetStEph                            default                       
339    6        2      Chap41::AVLTreeSetStPer                            default                       
340    6        2      Chap43::OrderedSetMtEph                            empty                         
341    6        2      Chap43::OrderedSetMtEph                            singleton                     
342    6        2      Chap43::OrderedSetStEph                            empty                         
343    6        2      Chap43::OrderedSetStEph                            singleton                     
344    6        2      Chap43::OrderedSetStPer                            singleton                     
345    6        2      Chap43::OrderedTableMtEph                          empty                         
346    6        2      Chap43::OrderedTableMtEph                          is_empty                      
347    6        2      Chap43::OrderedTableMtEph                          clone                         
348    6        2      Chap43::OrderedTableMtPer                          size                          
349    6        2      Chap43::OrderedTableMtPer                          empty                         
