================================================================================
UNTESTED FUNCTIONS: 2907 functions, 82683 uncovered regions
================================================================================

Module                                        Funcs    Insts    Regions   
Chap47::QuadraticProbing                      6        12       96        
Chap41::Example41_3                           1        1        95        
Chap43::OrderedTableMtPer                     11       23       94        
Chap28::MaxContigSubSumDivConStEph            4        4        90        
Chap28::MaxContigSubSumDivConOptMtEph         3        5        89        
Chap50::Probability                           15       21       87        
Chap56::SSSPResultStPerInt                    7        8        86        
Chap56::SSSPResultStPerFloat                  7        8        86        
Chap56::SSSPResultStEphInt                    7        7        80        
Chap56::SSSPResultStEphFloat                  7        7        80        
Chap27::ReduceContractStEph                   1        4        80        
Chap47::HashExamples                          6        6        74        
Chap28::MaxContigSubSumDivConOptStEph         3        3        74        
Chap47clean::ChainedHashTable                 3        6        72        
Chap55::CycleDetectStPer                      2        2        69        
Chap55::CycleDetectStEph                      2        2        63        
Chap47::LinearProbing                         5        7        59        
Chap21::Algorithm21_6                         1        5        59        
Chap54::BFSMtPer                              1        1        56        
Chap28::MaxContigSubSumOptMtEph               1        1        56        
Chap28::MaxContigSubSumOptStEph               1        1        55        
Chap54::BFSMtEph                              1        1        54        
Chap21::Problem21_4                           2        6        53        
Chap57::StackStEph                            7        14       52        
Chap54::BFSStPer                              1        1        49        
Chap54::BFSStEph                              1        1        45        
Chap55::DFSStEph                              2        2        44        
Chap21::Exercise21_5                          1        6        44        
Chap55::DFSStPer                              2        2        40        
Chap21::Exercise21_7                          3        7        38        
Chap28::MaxContigSubSumBruteStEph             2        2        37        
Chap47clean::ParaHashTableStEph               3        6        36        
Chap26::DivConReduceMt                        5        10       35        
Chap26::DivConReduceSt                        5        10       35        
Chap03::InsertionSortSt                       1        2        34        
Chap28::MaxContigSubSumReducedStEph           2        2        33        
Chap12::Exercise12_2                          2        3        27        
Chap21::Algorithm21_2                         1        4        26        
Chap21::Exercise21_8                          2        3        24        
Chap21::Problem21_3                           1        1        24        
Chap21::Problem21_1                           1        1        21        
Chap21::Algorithm21_1                         1        3        18        
Chap21::Algorithm21_5                         1        3        18        
Chap11::FibonacciMt                           1        3        12        
